,deltaCH4,surf_ch4_per_ch4_flux,h2_flux_per_ch4_flux,ozone_rf_per_ch4_flux,h2o_rf_per_ch4_flux
CNTR,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
antro01,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
antro1,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
antro10,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
antro100,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
nemo,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
epia,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
munich,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
usdrydep,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
maud,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
zep,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
maxdep,49.668762305605924,3.6503026966623184,0.015022408545077194,0.8207875152829956,0.19187109880779907
SSP119,37.77550249447597,3.777258445273422,0.056422685878273884,0.8876308132473764,0.2205132810931667
SSP434,52.08002664772539,4.268069614910234,0.05725156240382167,0.8434500292621975,0.23847914065040993
SSP585,58.61096918748967,4.172970126437463,0.05736355419052721,0.8485612964512415,0.2316972435067429
